id,part_number,manufacturer_name,updated_at,categories_list,aka_part_numbers_list,name
1,EKG-76954,Delphi,2024-03-20 0:00:00,Steering;Lighting;Brakes,RYJ-62759,Delphi Steering Part EKG-76954
2,H1G-56356,NGK,2024-05-28 0:00:00,Cooling;Transmission,DFJ-44574;APX-50779,NGK Cooling Part H1G-56356
3,T63-76268,Valeo,2024-07-14 0:00:00,Cooling,2AC-68123;VWF-85510;MCU-86652,Valeo Cooling Part T63-76268
4,EE2-68342,ACDelco,2024-03-23 0:00:00,Steering;Suspension;Transmission,,ACDelco Steering Part EE2-68342
5,HRU-07720,Magneti Marelli,2023-03-04 0:00:00,Exhaust;Steering;Engine,,Magneti Marelli Exhaust Part HRU-07720
6,1NJ-01960,Continental,2023-04-14 0:00:00,Suspension;Transmission,A59-75136,Continental Suspension Part 1NJ-01960
7,RHF-78894,ACDelco,2023-10-29 0:00:00,Steering,9D0-99524,ACDelco Steering Part RHF-78894
8,R0N-29496,Denso,2024-08-04 0:00:00,Suspension;Brakes;Steering,ACI-33268;DQH-72935;4XO-36774,Denso Suspension Part R0N-29496
9,V71-49842,Denso,2024-08-25 0:00:00,Engine;Exhaust;Brakes,66W-63133;IKC-89010,Denso Engine Part V71-49842
10,ABU-51489,ACDelco,2023-05-14 0:00:00,Electrical;Cooling,,ACDelco Electrical Part ABU-51489
11,5XZ-86669,Continental,2023-10-07 0:00:00,Lighting;Electrical;Engine,CH7-30097;6YO-53687,Continental Lighting Part 5XZ-86669
12,K2A-14284,Bosch,2024-04-06 0:00:00,Transmission;Lighting,4K6-38486;2PK-88924,Bosch Transmission Part K2A-14284
13,WGT-22622,Denso,2024-02-25 0:00:00,Electrical,,Denso Electrical Part WGT-22622
14,ACI-63103,Continental,2023-09-05 0:00:00,Engine;Brakes;Body,C7K-08180,Continental Engine Part ACI-63103
15,0Z7-49942,Magneti Marelli,2023-11-26 0:00:00,Lighting;Suspension;Exhaust,03K-91061,Magneti Marelli Lighting Part 0Z7-49942
16,TBS-58120,Valeo,2023-11-25 0:00:00,Suspension;Body;Brakes,RZQ-27804,Valeo Suspension Part TBS-58120
17,JWW-98289,Valeo,2023-04-29 0:00:00,Body;Brakes,,Valeo Body Part JWW-98289
18,T1U-85172,ACDelco,2024-10-12 0:00:00,Body;Steering;Suspension,,ACDelco Body Part T1U-85172
19,U0Y-33567,Delphi,2024-01-10 0:00:00,Exhaust,P5J-50584;XLD-23912,Delphi Exhaust Part U0Y-33567
20,VD9-28063,Magneti Marelli,2023-01-21 0:00:00,Steering;Suspension;Engine,DZO-56108,Magneti Marelli Steering Part VD9-28063
21,FYU-48060,Bosch,2023-01-15 0:00:00,Exhaust,SDV-91138,Bosch Exhaust Part FYU-48060
22,MAA-99323,Bosch,2024-01-01 0:00:00,Electrical,,Bosch Electrical Part MAA-99323
23,8W0-11331,Bosch,2023-03-31 0:00:00,Steering;Cooling;Engine,TMS-71242;2IO-42698;OJM-87927,Bosch Steering Part 8W0-11331
24,9C0-83219,Bosch,2024-08-02 0:00:00,Engine;Steering;Lighting,OAV-80506;NE9-67975;EIJ-19389,Bosch Engine Part 9C0-83219
25,OOI-28357,Magneti Marelli,2024-10-09 0:00:00,Steering,TT8-00779;FSP-35748,Magneti Marelli Steering Part OOI-28357
26,V0S-61747,Bosch,2024-01-05 0:00:00,Cooling,ADH-26150,Bosch Cooling Part V0S-61747
27,NLS-10197,Denso,2024-06-20 0:00:00,Cooling,,Denso Cooling Part NLS-10197
28,O9Z-21417,Denso,2023-01-24 0:00:00,Transmission;Steering;Exhaust,ONH-70318,Denso Transmission Part O9Z-21417
29,QSH-14400,NGK,2023-05-20 0:00:00,Cooling;Electrical;Suspension,5ZV-52232;7VC-07359;2ZV-74664,NGK Cooling Part QSH-14400
30,HLM-23345,ACDelco,2023-11-12 0:00:00,Body;Cooling,X05-53953;FUZ-49579,ACDelco Body Part HLM-23345
31,SU9-03330,Bosch,2024-09-26 0:00:00,Electrical;Suspension;Transmission,10H-12481;HC3-99299,Bosch Electrical Part SU9-03330
32,BO1-06127,NGK,2023-12-15 0:00:00,Body;Electrical,F9D-92641;PL9-08756;ABP-38000,NGK Body Part BO1-06127
33,PK4-20836,NGK,2024-11-12 0:00:00,Steering;Transmission;Engine,,NGK Steering Part PK4-20836
34,O17-12401,ACDelco,2024-08-21 0:00:00,Lighting;Electrical;Engine,BDS-68344,ACDelco Lighting Part O17-12401
35,,Continental,2024-11-02 0:00:00,Electrical;Engine,PJS-83636;BQX-68264;E3H-76428,Continental Electrical Part 06E-61398
36,BKN-99969,Continental,2024-10-23 0:00:00,Cooling;Transmission;Body,TZ2-15766;4US-06765;TG2-68817,Continental Cooling Part BKN-99969
37,HVE-13081,Denso,2024-09-15 0:00:00,Brakes,FPY-61503;H96-20105;4G1-53588,Denso Brakes Part HVE-13081
38,PB3-06805,Bosch,2023-02-05 0:00:00,Engine,P32-77957;7E2-14112;ZP4-79655,Bosch Engine Part PB3-06805
39,SGL-47626,NGK,2024-10-12 0:00:00,Body;Engine;Transmission,BP8-66892;1A7-88635;LNE-43840,NGK Body Part SGL-47626
40,4DR-57071,ACDelco,2023-04-23 0:00:00,Exhaust,924-40574;I5T-42976;JG0-19259,ACDelco Exhaust Part 4DR-57071
41,XIP-81410,,2023-03-22 0:00:00,Suspension;Exhaust,YN6-60439;2D7-80668,Bosch Suspension Part XIP-81410
42,KNF-90348,Bosch,2024-11-02 0:00:00,Electrical;Lighting;Body,VRS-90740,Bosch Electrical Part KNF-90348
43,PKE-99524,Valeo,2024-10-09 0:00:00,Suspension;Cooling;Body,,Valeo Suspension Part PKE-99524
44,493-70149,Denso,2024-06-24 0:00:00,Steering;Body,SPM-51145;CMO-45773,Denso Steering Part 493-70149
45,9MG-77199,NGK,2023-01-29 0:00:00,Brakes;Electrical,,NGK Brakes Part 9MG-77199
46,KRY-76414,Delphi,2024-03-04 0:00:00,Brakes;Transmission,UHM-54902;7RC-58061;HI6-81361,Delphi Brakes Part KRY-76414
47,42G-75874,Bosch,2023-06-04 0:00:00,Engine;Electrical,LNW-19363;RB9-81505;HQW-73143,Bosch Engine Part 42G-75874
48,G5I-90234,NGK,2024-06-16 0:00:00,Steering;Brakes;Suspension,EYW-75443;ZAA-96939;O7P-30570,NGK Steering Part G5I-90234
49,8XQ-11809,ACDelco,2023-04-01 0:00:00,Lighting;Body,NR1-47774,ACDelco Lighting Part 8XQ-11809
50,KGG-02185,Valeo,2024-09-08 0:00:00,Electrical;Transmission;Steering,VKP-79613;5DR-84657;3SI-72975,Valeo Electrical Part KGG-02185
51,NBG-18502,ACDelco,2023-11-11 0:00:00,Steering;Suspension;Electrical,L1P-21244;OZW-54654,ACDelco Steering Part NBG-18502
52,HU3-57893,Delphi,2023-08-28 0:00:00,Engine;Lighting,4VZ-96089;WHB-41641,Delphi Engine Part HU3-57893
53,GT2-11463,Valeo,2023-10-18 0:00:00,Transmission;Electrical,,Valeo Transmission Part GT2-11463
54,ZR0-71847,Valeo,2024-11-25 0:00:00,Cooling;Brakes,KTB-22495;BDF-70507,Valeo Cooling Part ZR0-71847
55,HI7-39612,Magneti Marelli,2023-12-17 0:00:00,Lighting,GJC-89441,Magneti Marelli Lighting Part HI7-39612
56,OA9-82044,Magneti Marelli,2024-06-17 0:00:00,Electrical;Transmission;Brakes,UPS-57908;RGR-57269;DMG-71145,Magneti Marelli Electrical Part OA9-82044
57,CFA-83775,Continental,2023-02-12 0:00:00,Transmission;Lighting,ZSF-40524;A5Z-04167,Continental Transmission Part CFA-83775
58,62K-24438,ACDelco,2024-06-28 0:00:00,Transmission;Body;Engine,HXC-40563;5QU-40026;NT0-52138,ACDelco Transmission Part 62K-24438
59,ZJD-50456,Valeo,2024-04-05 0:00:00,Brakes,HSW-76727;EE6-48630;5A1-53232,Valeo Brakes Part ZJD-50456
60,RVS-35260,Denso,2024-09-20 0:00:00,Lighting;Exhaust,MID-77703,Denso Lighting Part RVS-35260
61,E5I-89055,ACDelco,2024-09-01 0:00:00,Transmission;Steering,XFY-50266,ACDelco Transmission Part E5I-89055
62,BC8-68360,Magneti Marelli,2024-10-25 0:00:00,Exhaust;Cooling;Suspension,ZYG-02073,Magneti Marelli Exhaust Part BC8-68360
63,XCL-90539,ACDelco,2023-05-17 0:00:00,Lighting;Transmission,EOQ-95047,ACDelco Lighting Part XCL-90539
64,9NE-75887,ACDelco,2024-01-28 0:00:00,Engine,TB6-73943;JV2-74682;SBR-02783,ACDelco Engine Part 9NE-75887
65,2BP-48122,Bosch,2023-04-02 0:00:00,Steering;Cooling;Exhaust,UTO-95210,Bosch Steering Part 2BP-48122
66,KAP-93051,Denso,2024-09-20 0:00:00,Cooling;Brakes;Body,0SO-24594;7YN-47337;Z4W-52245,Denso Cooling Part KAP-93051
67,Q8U-89247,Bosch,2023-09-26 0:00:00,Electrical;Engine;Lighting,V0V-94890,Bosch Electrical Part Q8U-89247
68,HLL-52300,Valeo,2023-07-26 0:00:00,Body;Cooling,2I7-69416,Valeo Body Part HLL-52300
69,F65-90827,Continental,2023-02-18 0:00:00,Suspension;Electrical,6YU-54340;VY7-70113;LYK-32595,Continental Suspension Part F65-90827
70,E4N-43528,NGK,2023-01-11 0:00:00,Steering,P8U-91400,NGK Steering Part E4N-43528
71,D1V-90893,NGK,2023-11-29 0:00:00,Brakes;Body,MN6-61053;DG5-55822;QA2-56491,NGK Brakes Part D1V-90893
72,2R4-44808,Delphi,2023-01-25 0:00:00,Steering;Electrical;Exhaust,Q6K-45775;BRX-79751,Delphi Steering Part 2R4-44808
73,IK9-06655,NGK,2023-09-12 0:00:00,Lighting;Steering;Transmission,1P9-56856,NGK Lighting Part IK9-06655
74,8JR-04196,Continental,2023-05-23 0:00:00,Suspension;Brakes,,Continental Suspension Part 8JR-04196
75,7HB-00029,Delphi,2024-06-24 0:00:00,Cooling,,Delphi Cooling Part 7HB-00029
76,PAT-38295,NGK,2023-06-20 0:00:00,Body,J6G-33533;V3F-38306;J7B-37338,NGK Body Part PAT-38295
77,U24-81619,NGK,2023-09-17 0:00:00,Suspension;Cooling,ILW-28303;WOZ-60469;JVL-62148,NGK Suspension Part U24-81619
78,WRX-12124,Magneti Marelli,2024-07-26 0:00:00,Exhaust,KEQ-61956;MX5-34254,Magneti Marelli Exhaust Part WRX-12124
79,3L1-95157,ACDelco,2024-02-04 0:00:00,Engine;Electrical;Exhaust,5N5-22958,ACDelco Engine Part 3L1-95157
80,BJB-58066,Delphi,2024-02-19 0:00:00,Cooling;Body;Brakes,0WJ-93951;1L8-45614,Delphi Cooling Part BJB-58066
81,N1U-18721,Denso,2024-11-21 0:00:00,Lighting;Body;Electrical,,Denso Lighting Part N1U-18721
82,I3X-90492,Magneti Marelli,2024-07-12 0:00:00,Lighting,YSS-86008;LZP-29252;QVG-92114,Magneti Marelli Lighting Part I3X-90492
83,2P7-62333,Denso,2024-12-01 0:00:00,Lighting;Brakes;Exhaust,P08-04734;P23-06575;8PY-78457,Denso Lighting Part 2P7-62333
84,8V6-33478,NGK,2023-04-27 0:00:00,Body;Steering,,NGK Body Part 8V6-33478
85,UB4-46522,ACDelco,2024-01-11 0:00:00,Brakes;Steering,ICW-03924,ACDelco Brakes Part UB4-46522
86,5KL-51569,NGK,2023-12-05 0:00:00,Electrical;Lighting;Transmission,Z82-62625;GNQ-57660;5YC-25661,NGK Electrical Part 5KL-51569
87,GPS-46143,ACDelco,2024-05-15 0:00:00,Exhaust;Steering,GP1-61059,ACDelco Exhaust Part GPS-46143
88,C7I-84426,Delphi,2024-04-16 0:00:00,Engine;Cooling,OZY-72041,Delphi Engine Part C7I-84426
89,KE7-51404,Magneti Marelli,2024-03-09 0:00:00,Suspension;Steering,2WK-03807;QJ6-80166,Magneti Marelli Suspension Part KE7-51404
90,4QS-45471,Delphi,2023-09-29 0:00:00,Transmission,NY3-13415;XWF-02951;H2M-63504,Delphi Transmission Part 4QS-45471
91,BC9-25863,NGK,2024-02-10 0:00:00,Steering,,NGK Steering Part BC9-25863
92,C5Q-42439,ACDelco,2023-04-16 0:00:00,Suspension,2Z2-22812;9T0-62635,ACDelco Suspension Part C5Q-42439
93,VWN-27181,Bosch,2023-09-17 0:00:00,Suspension;Engine;Brakes,4Y6-27375;80J-16217;BP5-53031,Bosch Suspension Part VWN-27181
94,PGA-95120,Valeo,2024-11-06 0:00:00,Suspension,,Valeo Suspension Part PGA-95120
95,Q1A-35038,Valeo,2023-01-07 0:00:00,Suspension,,Valeo Suspension Part Q1A-35038
96,GPU-29837,ACDelco,2023-11-25 0:00:00,Steering,IUE-62192,ACDelco Steering Part GPU-29837
97,5VC-75380,ACDelco,2023-07-30 0:00:00,Suspension;Electrical,,ACDelco Suspension Part 5VC-75380
98,CTT-33296,Denso,2024-09-05 0:00:00,Lighting,,Denso Lighting Part CTT-33296
99,ITZ-16378,ACDelco,2023-06-25 0:00:00,Transmission,SRA-32627,ACDelco Transmission Part ITZ-16378
100,D85-30022,Valeo,2023-08-19 0:00:00,Cooling,XXL-44508;KRK-02660;3RZ-18123,Valeo Cooling Part D85-30022
101,KAE-91064,NGK,2023-06-27 0:00:00,Exhaust;Suspension;Electrical,,NGK Exhaust Part KAE-91064
